pair_id,target_frame,reference_frame,degradation,method,mask_ratio,masked_psnr,masked_ssim,masked_lpips,mask_outside_max_abs,homography_mask_support_ratio,matches,inliers
matrixcity_down_0018,36,35,uv_stretch,homography,0.38721,13.660805686550688,0.3449967856666307,0.07394326478242874,0,0.9598305828878386,510,405
matrixcity_down_0019,38,39,repeat_seam,identity,0.217818,17.769745673392563,0.5359918520840841,0.08501998335123062,0,,,
matrixcity_down_0019,38,39,repeat_seam,homography,0.217818,14.633376464772754,0.36894656393784114,0.09704876691102982,0,0.7376846725247684,708,587
matrixcity_down_0020,40,39,resolution_blur,identity,0.179637,27.361063330747335,0.7141404550823968,0.03305898979306221,0,,,
matrixcity_down_0020,40,39,resolution_blur,homography,0.179637,19.459162475695603,0.4927854272567386,0.030384017154574394,0,1.0,719,578
matrixcity_down_0021,42,43,uv_stretch,identity,0.437205,15.281494586191616,0.3379479824552797,0.2113095372915268,0,,,
matrixcity_down_0021,42,43,uv_stretch,homography,0.437205,16.504771979076114,0.4344829166784712,0.11149334907531738,0,0.9291293557941926,550,454
matrixcity_down_0022,44,43,repeat_seam,identity,0.341322,14.944217350226845,0.4086593392401032,0.4786837100982666,0,,,
matrixcity_down_0022,44,43,repeat_seam,homography,0.341322,21.492428958271,0.5633358513486724,0.1143358051776886,0,1.0,503,356
matrixcity_down_0023,46,45,resolution_blur,identity,0.143291,25.4188526047431,0.6946217841118852,0.10196943581104279,0,,,
matrixcity_down_0023,46,45,resolution_blur,homography,0.143291,19.54267494828884,0.47483671126280647,0.036564119160175323,0,1.0,700,535
