unique_image_id,showcase_index,rank,reference_path,retrieval_score,matches,inliers,inlier_ratio,forward_backward_consistency_px
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\500_84_TZSHZHMRHM_1_16_21_C_Balcony_114.150199_22.28035_201.6335_27.739153.png,1.666667,15,5,0.333333,0.000573
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\322_84_TZSHZHMRHM_1_11_3_C_Kitchen_114.150158_22.280246_150.2929_118.38845.png,0.000000,1,0,0.000000,nan
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\328_84_TZSHZHMRHM_1_11_9_C_Kitchen_114.150158_22.280246_167.6116_118.38845.png,0.000000,13,0,0.000000,nan
showcase_05_326_84_TZSHZHMRHM_1_11_7_C_Kitchen_114.150158_22.280246_161.8387_118.38845,5,4,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\632_84_TZSHZHMRHM_1_20_25_B_Living_114.150097_22.280393_213.3829_27.369583.png,0.000000,10,0,0.000000,nan
showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,6,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\0_16_SKKYGPBEPE_1_1_4_A_Kitchen_114.151878_22.278839_138.42_172.417722.png,3.200000,5,4,0.800000,1.152192
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\146_10_SKADBPYRPE_3_25_22_A_Bed_2_114.149297_22.282768_135.46_30.57121.png,16.810000,100,41,0.410000,0.200447
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,2,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\101_10_SKADBPYRPE_3_23_15_A_Bed_1_114.149293_22.282738_116.5839_124.207392.png,3.200000,5,4,0.800000,0.000089
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,3,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\134_10_SKADBPYRPE_3_25_10_A_Bed_2_114.149297_22.282768_101.86_30.57121.png,1.894737,19,6,0.315789,0.043480
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,4,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\100_10_SKADBPYRPE_3_23_14_A_Bed_1_114.149293_22.282738_113.8111_124.207392.png,0.000000,2,0,0.000000,nan
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,5,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\102_10_SKADBPYRPE_3_23_16_A_Bed_1_114.149293_22.282738_119.3567_124.207392.png,0.000000,6,0,0.000000,nan
showcase_09_11_62_TTSDZHIVHT_1_3_16_A_Living_114.13213_22.282362_109.46_60.14074,9,1,research\assets\distortion_segmentation_annotation_dataset\for_segmentation\images\10_62_TTSDZHIVHT_1_3_15_A_Living_114.13213_22.282362_106.55_60.14074.png,820.159683,883,851,0.963760,0.087176
