sample_id,split,method,seed,mask_ratio,masked_psnr,masked_ssim,masked_lpips,masked_l1,mask_outside_max_abs,mask_outside_mean_abs,original_mask_outside_max_abs,original_mask_outside_mean_abs,boundary_color_l1,boundary_edge_l1,inner_color_l1,color_mean_delta,color_std_delta,sharpness_gain,input_sharpness,output_sharpness,selected_from,guard_score
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,B0_identity,20260820,0.031341552734375,55.59439775304998,0.9978025697925839,nan,0.1579032838344574,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20415805280208588,0.20415805280208588,,
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,B1_deterministic,20260820,0.031341552734375,55.59439775304998,0.9978025697925839,nan,0.1579032838344574,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20415805280208588,0.20415805280208588,,
proxy_000_111_10_SKADBPYRPE_3_23_25_A_Bed_1_114.149293_22.282738_144.3117_124.207392,val,G_lite_stochastic_proxy,20260820,0.031341552734375,42.74524412763271,0.9525333336869887,nan,1.4487179517745972,0,0.0,2,0.0018115371286348885,0.16961652040481567,0.25504255294799805,1.2392739057540894,0.4878285825252533,0.6590266227722168,1.361084833741188,0.20415805280208588,1.565242886543274,,
proxy_001_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703,train,B0_identity,20260821,0.020477294921875,22.74885294807396,0.8463164173618464,nan,13.231246948242188,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.845000267028809,6.845000267028809,,
proxy_001_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703,train,B1_deterministic,20260821,0.020477294921875,23.357800867007008,0.8822472024069675,nan,11.6537504196167,0,0.0,9,0.007254052819058894,0.8720349669456482,0.6036942005157471,3.4141411781311035,0.3216603696346283,4.903095722198486,2.5849409103393555,6.845000267028809,9.429941177368164,,
proxy_001_308_15_SKEYPPEAPE_1_12_10_B_MBed_114.148513_22.280471_175.27_26.832703,train,G_lite_stochastic_proxy,20260821,0.020477294921875,23.225350871048356,0.8714498844262958,nan,12.06507682800293,0,0.0,7,0.004881037687842062,0.5867665410041809,0.4211978316307068,2.6291487216949463,0.6311492919921875,2.6882641315460205,1.700179100036621,6.845000267028809,8.54517936706543,,
proxy_002_650_86_TZSMTHISHM_1_24_13_D_LivingDining_114.153093_22.279117_147.5329_28.501951,train,B0_identity,20260822,0.0501708984375,20.479034911238962,0.6906258885752194,nan,14.142234802246094,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.192584991455078,6.192584991455078,,
proxy_002_650_86_TZSMTHISHM_1_24_13_D_LivingDining_114.153093_22.279117_147.5329_28.501951,train,B1_deterministic,20260822,0.0501708984375,18.884795412279473,0.6204605284518395,nan,17.374189376831055,0,0.0,29,0.02843464850276314,1.7987804412841797,1.451654076576233,4.2664475440979,0.0936737060546875,5.238239765167236,4.2211809158325195,6.192584991455078,10.413765907287598,,
proxy_002_650_86_TZSMTHISHM_1_24_13_D_LivingDining_114.153093_22.279117_147.5329_28.501951,train,G_lite_stochastic_proxy,20260822,0.0501708984375,19.628667192477586,0.6549495418687789,nan,15.941301345825195,0,0.0,17,0.01749453797712376,1.1067073345184326,0.9046971201896667,3.1374270915985107,0.5180460810661316,2.7668495178222656,2.6312007904052734,6.192584991455078,8.823785781860352,,
proxy_003_112_57_TTHZZHIVHT_1_5_13_B_Bed_1_114.131608_22.282112_102.245_153.043199,train,B0_identity,20260823,0.04595947265625,23.23156239262419,0.22399116104244826,nan,11.61077880859375,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101290225982666,5.101290225982666,,
proxy_003_112_57_TTHZZHIVHT_1_5_13_B_Bed_1_114.131608_22.282112_102.245_153.043199,train,B1_deterministic,20260823,0.04595947265625,21.507190220460952,0.1667326872450563,nan,15.074922561645508,0,0.0,13,0.01060392809161282,0.856589138507843,1.0417485237121582,3.0968661308288574,0.02921549417078495,6.2062811851501465,4.715397357940674,5.101290225982666,9.81668758392334,,
proxy_003_112_57_TTHZZHIVHT_1_5_13_B_Bed_1_114.131608_22.282112_102.245_153.043199,train,G_lite_stochastic_proxy,20260823,0.04595947265625,22.28548411323487,0.1934074411472269,nan,13.539398193359375,0,0.0,6,0.007533107286801868,0.6085271239280701,0.6236863136291504,2.367046594619751,0.515160858631134,3.3609323501586914,2.635315418243408,5.101290225982666,7.736605644226074,,
proxy_004_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763,val,B0_identity,20260824,0.02154541015625,24.830562575605786,0.8872960578909228,nan,13.393531799316406,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
proxy_004_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763,val,B1_deterministic,20260824,0.02154541015625,24.830562575605786,0.8872960578909228,nan,13.393531799316406,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
proxy_004_883_77_TZHXTHIVHM_1_29_5_D_Living_114.15281_22.279443_120.8576_27.540763,val,G_lite_stochastic_proxy,20260824,0.02154541015625,24.511898527800454,0.8456001251076399,nan,13.892115592956543,0,0.0,2,0.001855779427359491,0.21557970345020294,0.35863858461380005,1.2687499523162842,0.4815826416015625,1.7713743448257446,1.5645378828048706,0.0,1.5645378828048706,,
proxy_005_322_82_TZNITHIOHM_1_108_18_B_Bed_1_114.152057_22.279601_158.451_39.559907,train,B0_identity,20260825,0.0446319580078125,20.449984998735758,0.5861566318094575,nan,18.832820892333984,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.101449966430664,2.101449966430664,,
proxy_005_322_82_TZNITHIOHM_1_108_18_B_Bed_1_114.152057_22.279601_158.451_39.559907,train,B1_deterministic,20260825,0.0446319580078125,20.40390529836141,0.5753153406608857,nan,19.16820526123047,0,0.0,14,0.01826622584955785,1.588425874710083,0.9294081926345825,1.0473251342773438,0.6986897587776184,0.0156885776668787,0.5762934684753418,2.101449966430664,2.677743434906006,,
proxy_005_322_82_TZNITHIOHM_1_108_18_B_Bed_1_114.152057_22.279601_158.451_39.559907,train,G_lite_stochastic_proxy,20260825,0.0446319580078125,20.419649292774643,0.5806770853962505,nan,19.037378311157227,0,0.0,8,0.011467633482934309,0.9972221255302429,0.6352407932281494,1.4156378507614136,0.028830209746956825,0.14876873791217804,0.9785940647125244,2.101449966430664,3.0800440311431885,,
proxy_006_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,train,B0_identity,20260826,0.06610107421875,65.80537093331668,0.9999680668893247,nan,0.016928285360336304,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40469539165496826,0.40469539165496826,,
proxy_006_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,train,B1_deterministic,20260826,0.06610107421875,65.80537093331668,0.9999680668893247,nan,0.016928285360336304,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40469539165496826,0.40469539165496826,,
proxy_006_112_22_SKPPWBPEPE_2_34_13_Whole_MClo_114.149192_22.282896_120.74_124.801802,train,G_lite_stochastic_proxy,20260826,0.06610107421875,42.672780808624815,0.9821351887905633,nan,1.465681791305542,0,0.0,2,0.003251421475720541,0.21397849917411804,0.23595665395259857,1.2867132425308228,0.5073878169059753,0.1927129477262497,1.2413495779037476,0.40469539165496826,1.6460449695587158,,
proxy_007_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258,train,B0_identity,20260827,0.0465087890625,19.853197697100747,0.5237689144972337,nan,19.072288513183594,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.967164516448975,5.967164516448975,,
proxy_007_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258,train,B1_deterministic,20260827,0.0465087890625,20.416725473697113,0.6315798159170845,nan,17.524824142456055,0,0.0,13,0.016573848845645032,1.3076599836349487,1.0979726314544678,3.855092763900757,0.19116465747356415,5.307246208190918,3.507408618927002,5.967164516448975,9.474573135375977,,
proxy_007_543_61_TTNTIHLEHM_2_51_16_E_Bed_2_114.14242_22.284831_89.3888_2.269258,train,G_lite_stochastic_proxy,20260827,0.0465087890625,20.244763931002986,0.594550966893967,nan,17.95647430419922,0,0.0,8,0.010263303887679768,0.8097643852233887,0.689752995967865,2.8949077129364014,0.5948155522346497,3.0615651607513428,2.210358142852783,5.967164516448975,8.177522659301758,,
proxy_008_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748,train,B0_identity,20260828,0.0685272216796875,15.512504769082398,0.42684246906316375,nan,28.389816284179688,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.984477996826172,11.984477996826172,,
proxy_008_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748,train,B1_deterministic,20260828,0.0685272216796875,13.63068716975204,0.35524120421035615,nan,37.148075103759766,0,0.0,21,0.04876184235673137,2.7871410846710205,2.2524726390838623,9.245984077453613,0.27522024512290955,12.826897621154785,9.023786544799805,11.984477996826172,21.008264541625977,,
proxy_008_171_11_SKBKBPEAPE_1_5_28_A_MBed_114.148897_22.28093_233.67_29.821748,train,G_lite_stochastic_proxy,20260828,0.0685272216796875,14.477968039786717,0.3879152248980592,nan,32.951534271240234,0,0.0,13,0.02825784257514948,1.6151686906814575,1.3100961446762085,5.643574237823486,0.61456298828125,6.929624080657959,5.064863204956055,11.984477996826172,17.049341201782227,,
proxy_009_100_67_TZDSIHSXMT_1_10_10_C_Null_114.141834_22.282128_142.1873_171.551879,train,B0_identity,20260829,0.072479248046875,22.337107184296062,0.6015460355386933,nan,12.876561164855957,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6202127933502197,2.6202127933502197,,
