sample_id,showcase_index,severity,category,mask_source,method,manual_sam_iou,manual_sam_dice,sam_ratio,selected_from,guard_score,seed_output_variance,mask_ratio,mask_outside_max_abs,mask_outside_mean_abs,original_mask_outside_max_abs,original_mask_outside_mean_abs,boundary_color_l1,boundary_edge_l1,inner_color_l1,color_mean_delta,color_std_delta,sharpness_gain,input_sharpness,output_sharpness
showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,6,large,Kitchen,SAM_LoRA_cpu,B0_identity,1.0,1.0,1.0,B0_identity,0.03583603604279686,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2763309478759766,2.2763309478759766
showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,6,large,Kitchen,SAM_LoRA_cpu,B1_deterministic,1.0,1.0,1.0,B0_identity,0.04348044557954942,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.009440104477107525,0.456695556640625,0.8375535011291504,2.2763309478759766,3.113884449005127
showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,6,large,Kitchen,SAM_LoRA_cpu,G_lite_stochastic_proxy,1.0,1.0,1.0,B0_identity,0.04270282644629404,1.3154561519622803,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5034840703010559,0.2871945798397064,1.203674077987671,2.2763309478759766,3.4800050258636475
showcase_06_11_16_SKKYGPBEPE_1_1_15_A_Kitchen_114.151878_22.278839_167.6916_172.417722,6,large,Kitchen,SAM_LoRA_cpu,Ours_guard_selected,1.0,1.0,1.0,B0_identity,0.03583603604279686,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2763309478759766,2.2763309478759766
showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,7,large,Bed,SAM_LoRA_cpu,B0_identity,0.9840808981618324,0.9919765863111146,0.6814086419753086,B1_deterministic,0.03583603604279686,0.0,0.6814086419753086,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4877333641052246,2.4877333641052246
showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,7,large,Bed,SAM_LoRA_cpu,B1_deterministic,0.9840808981618324,0.9919765863111146,0.6814086419753086,B1_deterministic,0.03205612644594586,0.0,0.6814086419753086,0,0.0,33,0.06435995902745754,3.230001211166382,2.3248953819274902,5.123129367828369,0.0031712849158793688,0.9775416254997253,0.8081502914428711,2.4877333641052246,3.2958836555480957
showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,7,large,Bed,SAM_LoRA_cpu,G_lite_stochastic_proxy,0.9840808981618324,0.9919765863111146,0.6814086419753086,B1_deterministic,0.03307510156118281,1.312981128692627,0.6814086419753086,0,0.0,18,0.037118126733292255,1.8628288507461548,1.380189061164856,3.5083298683166504,0.5227076411247253,0.550537109375,1.1379272937774658,2.4877333641052246,3.6256606578826904
showcase_07_10_72_TZDZZHIAHT_1_1_11_F_Bed_1_114.144757_22.284454_117.7657_167.392177,7,large,Bed,SAM_LoRA_cpu,Ours_guard_selected,0.9840808981618324,0.9919765863111146,0.6814086419753086,B1_deterministic,0.03205612644594586,0.0,0.6814086419753086,0,0.0,33,0.06435995902745754,3.230001211166382,2.3248953819274902,5.123129367828369,0.0031712849158793688,0.9775416254997253,0.8081502914428711,2.4877333641052246,3.2958836555480957
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,medium,Bed,SAM_LoRA_cpu,B0_identity,0.9237877110543712,0.9603842521148765,0.46584691358024694,B1_deterministic,0.03583603604279686,0.0,0.46584691358024694,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3222618103027344,2.3222618103027344
showcase_08_152_10_SKADBPYRPE_3_25_28_A_Bed_2_114.149297_22.282768_152.26_30.57121,8,medium,Bed,SAM_LoRA_cpu,B1_deterministic,0.9237877110543712,0.9603842521148765,0.46584691358024694,B1_deterministic,0.0322509804351437,0.0,0.46584691358024694,0,0.0,68,0.06096416618900579,3.2648842334747314,2.566847324371338,7.874218940734863,0.04616038128733635,1.90384042263031,1.2093563079833984,2.3222618103027344,3.531618118286133
