sample_id,source_group,split,category,severity,identity_candidate,mask_ratio,input_pseudo_psnr,input_pseudo_ssim_global,e1_pseudo_psnr,e1_pseudo_ssim_global,e1_mask_outside_max_abs,e1_mask_outside_mean_abs
image_patches_small/1_1549_40_SKSSGPYXPE_1_39_36_H_Bed_1,1549_40_SKSSGPYXPE_1_39_36_H_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.04458148148148148,28.521328528250898,0.96595904873239,37.59151520912502,0.9967587081668408,0,0.0
image_patches_small/1_168_41_SKSWBPWJPS_1_7_1_B_Bed_1,168_41_SKSWBPWJPS_1_7_1_B_Bed,test,image_patches_small/clear_nostructure_noimagine,severe,False,0.22520864197530865,25.776430421289138,0.9883129826434143,33.57001791135449,0.998246356891597,0,0.0
image_patches_small/1_1_11_SKBKBPEAPE_1_1_2_A_Living_1,1_11_SKBKBPEAPE_1_1_2_A_Living,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.07596543209876543,28.530532761780982,0.977329276664561,38.26518506297903,0.9979289027969778,0,0.0
image_patches_small/1_229_78_TZIDZHMXHM_3_39_26_A_Utility_1,229_78_TZIDZHMXHM_3_39_26_A_Utility,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.02818888888888889,33.638791048048255,0.9975362155499913,36.07102277523016,0.9986665074407208,0,0.0
image_patches_small/1_280_17_SKPDPPERPE_1_11_10_C_MBed_1,280_17_SKPDPPERPE_1_11_10_C_MBed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.041277777777777774,33.54204501796983,0.9971408777375895,38.12508264478257,0.9990882371965429,0,0.0
image_patches_small/1_31_4_OSRRQRUXOU_1_3_10_A_Bed_1,31_4_OSRRQRUXOU_1_3_10_A_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.02111851851851852,35.51725135087815,0.9985312689708309,38.62522062762388,0.9993170970293556,0,0.0
image_patches_small/1_631_86_TZSMTHISHM_1_23_23_D_Utility_1,631_86_TZSMTHISHM_1_23_23_D_Utility,train,image_patches_small/clear_nostructure_noimagine,severe,False,0.10433827160493828,29.113112395079874,0.992417944538543,36.27804978043811,0.9987935762349374,0,0.0
image_patches_small/1_682_41_SKSWBPWJPS_1_26_11_C_Bed_1,682_41_SKSWBPWJPS_1_26_11_C_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.09468888888888889,30.526024677500658,0.9920769604004354,39.933229640520025,0.9992208900307789,0,0.0
image_patches_small/1_847_81_TZMNIHIXHM_1_22_43_C_MBed_1,847_81_TZMNIHIXHM_1_22_43_C_MBed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.04629135802469136,32.63166334897686,0.9949926868491678,39.695126410169046,0.9992136194578554,0,0.0
image_patches_small/1_90_78_TZIDZHMXHM_2_27_8_A_Utility_1,90_78_TZIDZHMXHM_2_27_8_A_Utility,val,image_patches_small/clear_nostructure_noimagine,medium,False,0.007519753086419753,35.54667636659246,0.9991365234032119,36.08924708812474,0.9992563662296399,0,0.0
image_patches_small/2_0_24_SKPPWDPXPS_1_1_6_A_LivingDining_2,0_24_SKPPWDPXPS_1_1_6_A_LivingDining,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.04185925925925926,32.8374102498299,0.9947734681837272,40.5734825207405,0.9991904235072908,0,0.0
image_patches_small/2_102_10_SKADBPYRPE_3_23_16_A_Bed_2,102_10_SKADBPYRPE_3_23_16_A_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.08391604938271605,30.47144008791532,0.9938078790109416,37.25752615473426,0.9988663549784121,0,0.0
image_patches_small/2_1145_30_SKPPWKPEPE_2_50_47_C_Bed_2,1145_30_SKPPWKPEPE_2_50_47_C_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.06590987654320987,31.35555255544697,0.9949457013986809,38.72485119437227,0.9992416416169336,0,0.0
image_patches_small/2_132_10_SKADBPYRPE_3_24_27_A_Bed_2,132_10_SKADBPYRPE_3_24_27_A_Bed,val,image_patches_small/clear_nostructure_noimagine,light,True,0.006209876543209877,39.35627865057139,0.9968252522471639,42.13561976661307,0.9985612192415887,0,0.0
image_patches_small/2_134_10_SKADBPYRPE_3_25_10_A_Bed_2,134_10_SKADBPYRPE_3_25_10_A_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.06609753086419753,32.10450630849169,0.9958494991463656,39.03251027130849,0.9992492009129301,0,0.0
image_patches_small/2_1494_93_TZTNIHIYHM_1_38_47_F_Bed_2,1494_93_TZTNIHIYHM_1_38_47_F_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.020853086419753086,31.667067854234823,0.9834818264355762,41.51903149562406,0.9983856522212737,0,0.0
image_patches_small/2_179_61_TTNTIHLEHM_1_17_8_C_Bed_2,179_61_TTNTIHLEHM_1_17_8_C_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.0006950617283950617,41.516737245909496,0.9995840099974308,41.742760259235716,0.9996107634155827,0,0.0
image_patches_small/2_1_11_SKBKBPEAPE_1_1_2_A_Living_2,1_11_SKBKBPEAPE_1_1_2_A_Living,train,image_patches_small/clear_nostructure_noimagine,light,True,0.03557901234567901,33.7759382834549,0.9936398596443036,40.150359302301304,0.9987203619397895,0,0.0
image_patches_small/2_304_17_SKPDPPERPE_1_11_34_C_MBed_2,304_17_SKPDPPERPE_1_11_34_C_MBed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.0487716049382716,32.92273833908828,0.9961448843278702,39.06488337037694,0.9991396322386925,0,0.0
image_patches_small/2_307_41_SKSWBPWJPS_1_11_28_D_LivingDining_2,307_41_SKSWBPWJPS_1_11_28_D_LivingDining,val,image_patches_small/clear_nostructure_noimagine,medium,False,0.02266172839506173,33.9849689512999,0.997026537931956,37.023743887701436,0.9986795410223855,0,0.0
image_patches_small/2_363_2_OSJDFRJRRU_1_14_2_D_Bed_2,363_2_OSJDFRJRRU_1_14_2_D_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.014728395061728395,35.76008417697991,0.9986529165326858,38.550709718589516,0.9993560593734055,0,0.0
image_patches_small/2_562_17_SKPDPPERPE_2_29_38_B_Living_2,562_17_SKPDPPERPE_2_29_38_B_Living,val,image_patches_small/clear_nostructure_noimagine,medium,False,0.037340740740740744,30.941660293699712,0.9858689883819279,39.20917944890056,0.9981987097131441,0,0.0
image_patches_small/2_594_86_TZSMTHISHM_1_22_15_D_Bath_2,594_86_TZSMTHISHM_1_22_15_D_Bath,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.05467530864197531,32.43730985424651,0.9959024027483422,40.29420115182831,0.9993939935004099,0,0.0
image_patches_small/3_134_15_SKEYPPEAPE_1_5_32_A_MBed_3,134_15_SKEYPPEAPE_1_5_32_A_MBed,test,image_patches_small/clear_nostructure_noimagine,medium,False,0.07008271604938271,28.971649633858437,0.9865619585842587,36.91883956028836,0.9982804023188928,0,0.0
image_patches_small/3_13_22_SKPPWBPEPE_1_14_7_Whole_MBed_3,13_22_SKPPWBPEPE_1_14_7_Whole_MBed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.01395925925925926,37.075918761874696,0.9980706907649536,40.947946021747455,0.9992621037794307,0,0.0
image_patches_small/3_308_15_SKEYPPEAPE_1_12_10_B_MBed_3,308_15_SKEYPPEAPE_1_12_10_B_MBed,test,image_patches_small/clear_nostructure_noimagine,light,True,0.05338271604938272,32.8060097456236,0.9889419496851746,43.48733497728563,0.9992148700141669,0,0.0
image_patches_small/3_30_89_TZTMTHMJMM_1_2_13_A_Bed_3,30_89_TZTMTHMJMM_1_2_13_A_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.06154197530864197,34.93608781168211,0.9972163078539966,43.64618976172136,0.9996757369951697,0,0.0
image_patches_small/3_325_38_SKPPWYPEPE_1_105_13_B_MBed_3,325_38_SKPPWYPEPE_1_105_13_B_MBed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.032780246913580245,30.77036438418883,0.9598191083789157,41.77978630732042,0.9971910229384218,0,0.0
image_patches_small/3_396_11_SKBKBPEAPE_1_12_1_C_Bed_3,396_11_SKBKBPEAPE_1_12_1_C_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.03025925925925926,33.74079736790294,0.9927620394838156,41.31765984533465,0.9989078985769232,0,0.0
image_patches_small/3_631_86_TZSMTHISHM_1_23_23_D_Utility_3,631_86_TZSMTHISHM_1_23_23_D_Utility,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.05467037037037037,32.13820005605923,0.9950435297014852,38.381333950736874,0.9989930389008355,0,0.0
image_patches_small/3_667_3_OSRJURUXRU_1_32_24_D_Bed_3,667_3_OSRJURUXRU_1_32_24_D_Bed,val,image_patches_small/clear_nostructure_noimagine,medium,False,0.05863827160493827,32.17156827716397,0.9949357871292521,39.13920769636322,0.9991658594478798,0,0.0
image_patches_small/3_908_80_TZLZZHIOHT_1_223_7_H_Bed_3,908_80_TZLZZHIOHT_1_223_7_H_Bed,test,image_patches_small/clear_nostructure_noimagine,medium,False,0.04657777777777778,31.478145867849623,0.9921522274061647,40.13131321026201,0.9990381765326987,0,0.0
image_patches_small/4_120_17_SKPDPPERPE_1_5_18_A_MBed_4,120_17_SKPDPPERPE_1_5_18_A_MBed,val,image_patches_small/clear_nostructure_noimagine,light,True,0.020464197530864196,36.18594242058763,0.9955898821166584,42.658803702734,0.9993456496430108,0,0.0
image_patches_small/4_122_17_SKPDPPERPE_1_5_20_A_MBed_4,122_17_SKPDPPERPE_1_5_20_A_MBed,test,image_patches_small/clear_nostructure_noimagine,light,True,0.023301234567901234,35.72547118144702,0.9947863395225859,43.23534522485232,0.9993145518673116,0,0.0
image_patches_small/4_134_10_SKADBPYRPE_3_25_10_A_Bed_4,134_10_SKADBPYRPE_3_25_10_A_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.03612716049382716,34.43279501288743,0.9958251556130225,41.61202390052031,0.9993403191383343,0,0.0
image_patches_small/4_179_61_TTNTIHLEHM_1_17_8_C_Bed_4,179_61_TTNTIHLEHM_1_17_8_C_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.04641358024691358,33.705147627880045,0.9945252005226265,43.54099565914257,0.9995155751980559,0,0.0
image_patches_small/4_396_11_SKBKBPEAPE_1_12_1_C_Bed_4,396_11_SKBKBPEAPE_1_12_1_C_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.027292592592592594,34.791356842095205,0.993805002279897,41.77284639146705,0.9989061808606914,0,0.0
image_patches_small/4_908_80_TZLZZHIOHT_1_223_7_H_Bed_4,908_80_TZLZZHIOHT_1_223_7_H_Bed,test,image_patches_small/clear_nostructure_noimagine,light,True,0.03716296296296296,34.82504748604289,0.9944271340053518,43.64761240617674,0.999332245591813,0,0.0
image_patches_small/5_1145_30_SKPPWKPEPE_2_50_47_C_Bed_5,1145_30_SKPPWKPEPE_2_50_47_C_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.06880246913580247,31.82741724125217,0.9928007902219255,42.152343262152286,0.9994736723825675,0,0.0
image_patches_small/5_120_17_SKPDPPERPE_1_5_18_A_MBed_5,120_17_SKPDPPERPE_1_5_18_A_MBed,val,image_patches_small/clear_nostructure_noimagine,light,True,0.014730864197530865,40.54517464201743,0.9981535122747994,45.53172499441531,0.9994636768979608,0,0.0
image_patches_small/5_1325_56_SSPPWYPXPS_1_26_11_G_Living_5,1325_56_SSPPWYPXPS_1_26_11_G_Living,train,image_patches_small/clear_nostructure_noimagine,light,True,0.013892592592592592,36.57606879438954,0.9987329802756737,40.18374244075244,0.9995388920736298,0,0.0
image_patches_small/5_134_15_SKEYPPEAPE_1_5_32_A_MBed_5,134_15_SKEYPPEAPE_1_5_32_A_MBed,test,image_patches_small/clear_nostructure_noimagine,light,True,0.02999753086419753,32.12922321705128,0.9798675846636781,41.165029586700406,0.9980039716670406,0,0.0
image_patches_small/5_280_17_SKPDPPERPE_1_11_10_C_MBed_5,280_17_SKPDPPERPE_1_11_10_C_MBed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.011393827160493827,37.268121065802895,0.998504182254759,39.429678113290365,0.9991371082500442,0,0.0
image_patches_small/5_325_38_SKPPWYPEPE_1_105_13_B_MBed_5,325_38_SKPPWYPEPE_1_105_13_B_MBed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.029496296296296295,30.8856555430403,0.9611931448370059,41.58856780017597,0.9971128548023949,0,0.0
image_patches_small/5_631_86_TZSMTHISHM_1_23_23_D_Utility_5,631_86_TZSMTHISHM_1_23_23_D_Utility,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.05908641975308642,30.393903890496105,0.9894072457383587,40.943670410914876,0.9992382681430448,0,0.0
image_patches_small/5_667_3_OSRJURUXRU_1_32_24_D_Bed_5,667_3_OSRJURUXRU_1_32_24_D_Bed,val,image_patches_small/clear_nostructure_noimagine,medium,False,0.07103580246913581,30.200056321676282,0.9874846006784944,39.03258112678243,0.9986725000723033,0,0.0
image_patches_small/6_0_24_SKPPWDPXPS_1_1_6_A_LivingDining_6,0_24_SKPPWDPXPS_1_1_6_A_LivingDining,train,image_patches_small/clear_nostructure_noimagine,light,True,0.029555555555555557,32.455724084813106,0.9895261101502486,40.74139639722912,0.9986028406404809,0,0.0
image_patches_small/6_11_5_OSRRQRUXUU_1_2_1_A_Bed_6,11_5_OSRRQRUXUU_1_2_1_A_Bed,train,image_patches_small/clear_nostructure_noimagine,medium,False,0.0598679012345679,32.52693931640027,0.9957626609717672,41.36615392693301,0.9995100039810901,0,0.0
image_patches_small/6_11_61_TTNTIHLEHM_1_1_13_A_Bed_6,11_61_TTNTIHLEHM_1_1_13_A_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.023687654320987656,35.47542343928717,0.9954173219994713,41.81299941565862,0.999044888609864,0,0.0
image_patches_small/6_122_17_SKPDPPERPE_1_5_20_A_MBed_6,122_17_SKPDPPERPE_1_5_20_A_MBed,test,image_patches_small/clear_nostructure_noimagine,light,True,0.02227037037037037,37.995218557125035,0.9963646252323951,46.04952649531973,0.999468796242412,0,0.0
image_patches_small/6_1493_93_TZTNIHIYHM_1_38_46_F_Bed_6,1493_93_TZTNIHIYHM_1_38_46_F_Bed,train,image_patches_small/clear_nostructure_noimagine,light,True,0.01122962962962963,34.87370066115,0.9872422943468663,41.2619573062896,0.9974470041598568,0,0.0
